City_ID,City,Country,Lat,Lng,Max Temp,%Humidity,%Cloudiness,Wind Speed,Description
266,Rosa Zarate,EC,0.3333,-79.4667,74.88,93,100,0.76,light rain
267,Ulladulla,AU,-35.35,150.4667,73.76,94,100,6.89,overcast clouds
268,Kosh-Agach,RU,50.0,88.6667,7.93,90,100,3.67,overcast clouds
269,Piacabucu,BR,-10.4056,-36.4344,78.93,82,54,8.63,broken clouds
270,Eenhana,NA,-17.4667,16.3333,65.19,47,20,4.79,few clouds
271,Lewistown,US,40.5992,-77.5714,28.17,70,0,18.41,clear sky
272,Bar Harbor,US,44.3876,-68.2039,41.65,77,100,4.61,overcast clouds
273,Ostrovnoy,RU,68.0531,39.5131,19.87,74,100,7.94,light snow
274,Camocim,BR,-2.9022,-40.8411,76.96,91,100,8.84,overcast clouds
275,Bambous Virieux,MU,-20.3428,57.7575,75.45,94,40,3.44,scattered clouds
276,Aviles,ES,43.5547,-5.9248,58.17,80,0,4.61,clear sky
277,Shimoda,JP,34.6667,138.95,59.36,61,94,3.96,overcast clouds
278,Thinadhoo,MV,0.5333,72.9333,81.32,63,10,5.08,clear sky
279,Riberalta,BO,-10.9833,-66.1,72.64,95,100,2.46,overcast clouds
280,Smithers,CA,54.7804,-127.1743,48.52,46,40,2.3,scattered clouds
281,Yasnyy,RU,51.0333,59.8742,31.41,87,100,20.83,overcast clouds
282,Mont-Dore,NC,-22.2833,166.5833,85.98,99,85,12.33,overcast clouds
283,Avera,US,33.194,-82.5271,60.31,45,7,7.67,clear sky
284,Omboue,GA,-1.5746,9.2618,77.9,92,100,6.82,moderate rain
285,Ornskoldsvik,SE,63.2909,18.7153,38.35,87,40,11.5,scattered clouds
286,Baykit,RU,61.67,96.37,5.23,96,85,4.32,overcast clouds
287,Sfantu Gheorghe,RO,45.8667,25.7833,36.93,64,5,1.97,clear sky
288,Sobolevo,RU,54.4299,31.8996,23.45,75,100,7.72,overcast clouds
289,Ciudad Bolivar,VE,8.1222,-63.5497,84.69,55,99,14.63,overcast clouds
290,San Cristobal,VE,7.7669,-72.225,71.78,89,99,2.33,overcast clouds
291,Marmande,FR,44.5,0.1667,44.91,64,3,5.19,clear sky
292,San Patricio,US,28.017,-97.5169,75.18,69,3,14.92,clear sky
293,Birao,CF,10.2849,22.7882,75.88,10,16,11.27,few clouds
294,Lazaro Cardenas,MX,17.9583,-102.2,76.84,57,10,7.63,clear sky
295,Marrakesh,MA,31.6315,-8.0083,64.47,59,0,9.22,clear sky
296,Mobile,US,30.7835,-88.2,69.15,68,20,9.22,few clouds
297,Krasnoshchekovo,RU,51.6708,82.7289,33.51,98,100,12.75,light snow
298,Isla Mujeres,MX,21.2311,-86.731,77.16,59,0,15.32,clear sky
299,Belinskiy,RU,52.9647,43.4165,20.08,85,99,17.16,overcast clouds
300,Mayumba,GA,-3.432,10.6554,78.91,88,98,3.74,light rain
301,Dryden,CA,49.7833,-92.7503,16.09,24,0,5.75,clear sky
302,Ichnya,UA,50.8626,32.3942,28.69,48,95,9.48,overcast clouds
303,Hofn,IS,64.2539,-15.2082,32.18,78,100,6.89,overcast clouds
304,Talgar,KZ,43.3027,77.2395,37.56,93,75,0.0,broken clouds
305,Kholm,RU,59.2667,32.85,19.63,87,100,8.25,overcast clouds
306,Taoudenni,ML,22.6783,-3.9836,85.62,28,5,6.87,clear sky
307,Derzhavinsk,KZ,51.1,66.3167,12.09,96,74,10.49,broken clouds
308,Ranong,TH,9.9658,98.6348,75.13,81,90,3.13,overcast clouds
309,Kalabo,ZM,-14.97,22.6814,67.62,83,100,1.01,overcast clouds
310,Waipawa,NZ,-41.4122,175.5153,57.24,75,95,8.16,overcast clouds
311,Shache,CN,38.4167,77.2406,48.88,26,14,7.83,few clouds
312,Iki-Burul,RU,45.8208,44.6472,30.54,82,100,17.98,light snow
313,Karratha,AU,-20.7377,116.8463,82.99,67,80,6.53,broken clouds
314,Natitingou,BJ,10.3042,1.3796,79.56,14,0,4.83,clear sky
315,Flagstaff,US,35.1981,-111.6513,64.06,12,0,13.8,clear sky
316,Aquin,HT,18.2833,-73.4,77.38,73,38,11.32,scattered clouds
317,Lerwick,GB,60.1545,-1.1494,46.4,86,30,16.49,scattered clouds
318,Maniitsoq,GL,65.4167,-52.9,24.24,73,100,8.16,overcast clouds
319,Srikakulam,IN,18.3,83.9,78.91,90,93,5.28,overcast clouds
320,Grand Gaube,MU,-20.0064,57.6608,75.6,85,2,1.01,clear sky
321,Bima,ID,-8.4667,118.7167,83.55,77,60,0.4,broken clouds
322,Te Anau,NZ,-45.4167,167.7167,73.17,44,1,2.28,clear sky
323,Geraldton,AU,-28.7667,114.6,75.61,78,75,9.22,broken clouds
324,Veraval,IN,20.9,70.3667,78.21,55,4,10.47,clear sky
325,Kikwit,CD,-5.041,18.8162,73.27,91,100,1.14,light rain
326,Iqaluit,CA,63.7506,-68.5145,16.7,92,100,5.75,fog
327,Panaba,MX,21.2833,-88.2667,73.22,57,0,16.42,clear sky
